Plot,Subplot,Date,Exposure,Openness
CTE,C3-m,2-Nov-17,EV0,0.655919475
CTE,C3-s1,2-Nov-17,EV-2,0.458306404
CTE,C3-s1,2-Nov-17,EV-4,0.368182721
CTE,C3-s1,2-Nov-17,EV0,0.658831111
CTE,C3-s2,2-Nov-17,EV-2,0.477032334
CTE,C3-s2,2-Nov-17,EV-4,0.413370431
CTE,C3-s2,2-Nov-17,EV0,0.637530325
CTE,C3-s3,2-Nov-17,EV-2,0.464019931
CTE,C3-s3,2-Nov-17,EV-4,0.346125414
CTE,C3-s3,2-Nov-17,EV0,0.696542851
CTE,C3-s4,2-Nov-17,EV-2,0.589842824
CTE,C3-s4,2-Nov-17,EV-4,0.536648733
CTE,C3-s4,2-Nov-17,EV0,0.72353885
CTE,C3-s5,2-Nov-17,EV-2,0.336302073
CTE,C3-s5,2-Nov-17,EV-4,0.285319093
CTE,C3-s5,2-Nov-17,EV0,0.481465233
CTE,C4-1,1-Nov-17,EV-2,0.71411119
CTE,C4-1,1-Nov-17,EV-4,0.66622383
CTE,C4-1,1-Nov-17,EV0,0.861063771
CTE,C4-13,1-Nov-17,EV-2,0.696211376
CTE,C4-13,1-Nov-17,EV-4,0.603613945
CTE,C4-13,1-Nov-17,EV0,0.827164173
CTE,C4-16,1-Nov-17,EV-2,0.764250979
CTE,C4-16,1-Nov-17,EV-4,0.699066295
CTE,C4-16,1-Nov-17,EV0,0.886108979
CTE,C4-4,1-Nov-17,EV-2,0.546459487
CTE,C4-4,1-Nov-17,EV-4,0.466750991
CTE,C4-4,1-Nov-17,EV0,0.686681974
CTE,C4-m,1-Nov-17,EV-2,0.688397386
CTE,C4-m,1-Nov-17,EV-4,0.648186453
CTE,C4-m,1-Nov-17,EV0,0.807667393
CTE,C4-s1,1-Nov-17,EV-2,0.638098278
CTE,C4-s1,1-Nov-17,EV-4,0.565003001
CTE,C4-s1,1-Nov-17,EV0,0.787088696
CTE,C4-s2,1-Nov-17,EV-2,0.675978165
CTE,C4-s2,1-Nov-17,EV-4,0.580194694
CTE,C4-s2,1-Nov-17,EV0,0.88885425
CTE,C4-s3,1-Nov-17,EV-2,0.622982408
CTE,C4-s3,1-Nov-17,EV-4,0.549736644
CTE,C4-s3,1-Nov-17,EV0,0.763666519
CTE,C4-s4,1-Nov-17,EV-2,0.668568235
CTE,C4-s4,1-Nov-17,EV-4,0.600941571
CTE,C4-s4,1-Nov-17,EV0,0.789420977
CTE,C4-s5,1-Nov-17,EV-2,0.569944078
CTE,C4-s5,1-Nov-17,EV-4,0.515720373
CTE,C4-s5,1-Nov-17,EV0,0.705331844
